Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","LiPo","JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal",28.321000,-37.084000,0.000000,bottom
"C1","1u","C_0402_1005Metric",-21.971000,-29.464000,0.000000,bottom
"C3","100n","C_0402_1005Metric",-21.971000,-30.480000,0.000000,bottom
"C4","100n","C_0402_1005Metric",-15.550000,-27.686000,0.000000,bottom
"C5","47u","C_0805_2012Metric",-18.311500,-27.178000,180.000000,bottom
"C6","47u","C_0805_2012Metric",-14.732000,-26.035000,0.000000,bottom
"C7","100n","C_0402_1005Metric",-1.846580,-10.739120,90.000000,bottom
"C8","1u","C_0402_1005Metric",0.563820,-22.090240,-90.000000,bottom
"C9","22p","C_0402_1005Metric",-0.850000,-8.505000,90.000000,bottom
"C10","22p","C_0402_1005Metric",4.900000,-8.540000,-90.000000,bottom
"C11","100n","C_0402_1005Metric",7.366000,-24.638000,90.000000,bottom
"C12","100n","C_0402_1005Metric",-36.154360,11.785600,180.000000,bottom
"C13","100n","C_0402_1005Metric",9.906000,-15.875000,180.000000,bottom
"C14","100n","C_0402_1005Metric",-30.325000,-24.003000,180.000000,bottom
"C15","100n","C_0402_1005Metric",-26.500000,-0.975000,0.000000,bottom
"C16","100n","C_0402_1005Metric",-41.000000,0.903440,0.000000,bottom
"C17","10u","C_0402_1005Metric",-29.100000,-2.140000,180.000000,bottom
"C18","100n","C_0402_1005Metric",-29.100000,-0.975000,180.000000,bottom
"C19","100n","C_0402_1005Metric",-29.408120,1.600200,180.000000,bottom
"C20","100n","C_0402_1005Metric",-28.750000,-6.000000,180.000000,bottom
"C21","100n","C_0402_1005Metric",-33.250000,-6.000000,180.000000,bottom
"C22","100n","C_0402_1005Metric",-40.771400,4.704080,0.000000,bottom
"C23","100n","C_0402_1005Metric",3.765000,15.840000,0.000000,bottom
"C24","100n","C_0402_1005Metric",7.121920,16.357600,90.000000,bottom
"C25","10u","C_0402_1005Metric",29.880320,16.256000,90.000000,bottom
"C26","100n","C_0402_1005Metric",4.168140,-0.362180,-90.000000,bottom
"C27","100n","C_0402_1005Metric",3.000000,3.500000,180.000000,bottom
"C28","22p","C_0402_1005Metric",3.590000,-3.795000,90.000000,bottom
"C29","22p","C_0402_1005Metric",-1.597720,-3.413620,90.000000,bottom
"C30","100n","C_0402_1005Metric",-27.620000,22.040000,-90.000000,bottom
"C31","1u","C_0402_1005Metric",44.150000,27.230000,90.000000,bottom
"C32","1u","C_0402_1005Metric",34.544000,40.640000,-90.000000,bottom
"C33","100n","C_0402_1005Metric",-25.273000,-25.019000,0.000000,bottom
"C34","10u","C_0402_1005Metric",14.880000,-35.345000,-90.000000,bottom
"C35","100n","C_0402_1005Metric",-6.247980,18.930000,180.000000,bottom
"C36","100n","C_0402_1005Metric",-30.075000,-17.960000,90.000000,bottom
"C37","100n","C_0402_1005Metric",13.462000,-41.610000,90.000000,bottom
"C38","22u","C_0805_2012Metric",-6.712500,20.574000,180.000000,bottom
"C39","22u","C_0805_2012Metric",-31.750000,-18.457500,90.000000,bottom
"C40","22p","C_0402_1005Metric",-8.200000,17.590100,180.000000,bottom
"C41","22p","C_0402_1005Metric",-28.707200,-19.900000,90.000000,bottom
"C42","10u","C_0402_1005Metric",9.271000,-30.575000,90.000000,bottom
"C43","22u","C_0805_2012Metric",-3.247980,19.590100,0.000000,bottom
"C44","22u","C_0805_2012Metric",-30.707200,-14.905360,-90.000000,bottom
"C45","22u","C_0805_2012Metric",-3.247980,21.590100,0.000000,bottom
"C46","22u","C_0805_2012Metric",-32.707200,-14.905360,-90.000000,bottom
"C47","39n","C_0402_1005Metric",-26.259000,-27.432000,0.000000,bottom
"C48","100n","C_0402_1005Metric",3.773000,-29.375000,0.000000,bottom
"C49","22u","C_0805_2012Metric",53.868320,13.512800,-90.000000,bottom
"C50","100n","C_0402_1005Metric",3.773000,-30.975000,0.000000,bottom
"C51","39n","C_0402_1005Metric",-31.877200,-26.926000,90.000000,bottom
"C52","47u","C_0805_2012Metric",-24.765000,-30.530800,90.000000,bottom
"C53","47u","C_0805_2012Metric",-26.924000,-30.546000,90.000000,bottom
"C54","47u","C_0805_2012Metric",-35.458400,-30.530800,90.000000,bottom
"C55","47u","C_0805_2012Metric",-37.490400,-30.530800,90.000000,bottom
"C56","100n","C_0402_1005Metric",-27.432000,-34.036000,90.000000,bottom
"C57","47u","C_0805_2012Metric",-31.496000,-38.000000,90.000000,bottom
"C58","100n","C_0402_1005Metric",2.286000,-22.100460,-90.000000,bottom
"C59","100n","C_0402_1005Metric",8.277860,-11.894820,90.000000,bottom
"C60","100n","C_0402_1005Metric",-2.794060,-19.936320,0.000000,bottom
"C61","100n","C_0402_1005Metric",-2.395280,-16.573360,-90.000000,bottom
"C62","1u","C_0402_1005Metric",-0.528380,-22.102940,-90.000000,bottom
"C63","100n","C_0402_1005Metric",-0.678180,-10.744200,90.000000,bottom
"C64","47u","C_0805_2012Metric",-27.432000,-38.000000,90.000000,bottom
"C65","47u","C_0805_2012Metric",-29.464000,-38.000000,-90.000000,bottom
"C66","47u","C_0805_2012Metric",-33.528000,-38.000000,90.000000,bottom
"C67","47u","C_0805_2012Metric",-35.600000,-38.000000,-90.000000,bottom
"C68","100n","C_0402_1005Metric",-37.550000,-37.592000,-90.000000,bottom
"C69","100n","C_0402_1005Metric",-24.300000,-37.592000,-90.000000,bottom
"D8","IR LED","LED_0805_2012Metric",58.262500,7.620000,-90.000000,bottom
"D9","PSBD3D40V1H","D_SOD-323",10.650000,-37.973000,-90.000000,bottom
"F1","1A","Fuse_0805_2012Metric",14.547500,-37.320000,0.000000,bottom
"FID1","Fiducial","Fiducial_1mm_Mask2mm",70.000000,0.000000,90.000000,bottom
"FID2","Fiducial","Fiducial_1mm_Mask2mm",-65.000000,-30.000000,180.000000,bottom
"J1","AudioJack3","Boom-audiojack-PJ-320B",-14.000000,-41.000000,180.000000,bottom
"J2","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",0.000000,-44.000000,180.000000,bottom
"J3","I2C","1X04_1MM_RA_GND",-15.113000,22.150000,0.000000,bottom
"J4","PMOD","PinSocket_2x06_P2.54mm_Horizontal",-58.190000,5.020000,-172.000000,bottom
"J5","Micro SD card","MicroSD-SOFNG-TF-002-H18",43.936860,10.287140,0.000000,bottom
"J7","LCD","Hirose_FH12-40S-0.5SH_1x40-1MP_P0.50mm_Horizontal",-21.771040,-2.824560,90.000000,bottom
"L3","2.2u","Inductor_MSC20FC",-2.000000,17.455000,0.000000,bottom
"L4","2.2u","Inductor_MSC20FC",-28.625000,-13.645000,-90.000000,bottom
"LS1","Speaker","Molex_PicoBlade_53261-0271_1x02-1MP_P1.25mm_Horizontal",-45.466000,-26.416000,0.000000,bottom
"N1","Logo","badgeteam",-21.602700,59.794140,180.000000,bottom
"N3","May Contain Hardware","protoboard-squares-big",27.940000,-14.859000,180.000000,bottom
"Q1","AP2302B","SOT-23",-29.190900,12.849860,-90.000000,bottom
"Q2","AP2302B","SOT-23",-23.336300,12.763500,180.000000,bottom
"Q3","AP2302B","SOT-23",61.262500,7.620000,0.000000,bottom
"R1","5.1k","R_0402_1005Metric",-1.016000,-35.814000,-90.000000,bottom
"R2","5.1k","R_0402_1005Metric",1.016000,-35.814000,-90.000000,bottom
"R3","4.7k","R_0402_1005Metric",7.112000,10.160000,90.000000,bottom
"R4","47","R_0402_1005Metric",-29.083000,-9.906000,180.000000,bottom
"R5","47","R_0402_1005Metric",-12.773520,-4.699000,0.000000,bottom
"R6","27","R_0402_1005Metric",0.381000,-25.019000,90.000000,bottom
