Ref,Val,Package,PosX,PosY,Rot,Side
"D2","RGB-5050","LED_RGB_5050-6",33.890000,11.900000,-90.000000,top
"D3","SK6805-EC15","LED_SK6805_EC15_1.5x1.5mm",-41.979000,26.982000,-90.000000,top
"D4","SK6805-EC15","LED_SK6805_EC15_1.5x1.5mm",-38.360000,35.320000,-90.000000,top
"D5","SK6805-EC15","LED_SK6805_EC15_1.5x1.5mm",-51.400000,41.270000,90.000000,top
"D6","SK6805-EC15","LED_SK6805_EC15_1.5x1.5mm",-34.470000,43.230000,-90.000000,top
"D7","SK6805-EC15","LED_SK6805_EC15_1.5x1.5mm",-17.860000,26.890000,180.000000,top
"N2","Artwork","prototype4",0.000000,0.000000,0.000000,top
"S1","JS1400BFQ","SW_JS1400BFQ",-52.033920,-0.295980,45.000000,top
"SW1","SKPMAME010","1TS009",7.266380,-29.473240,0.000000,top
"SW2","SKPMAME010","1TS009",20.266380,-29.473240,0.000000,top
"SW3","SKPMAME010","1TS009",-7.733620,-29.473240,0.000000,top
"SW4","SKPMAME010","1TS009",-20.733620,-29.473240,180.000000,top
"SW5","SKPMAME010","1TS009",44.704000,-1.320000,90.000000,top
"SW6","SKPMAME010","1TS009",53.750000,1.880000,90.000000,top
"U9","BME680","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",29.310000,20.940000,-90.000000,top
"X1","Simple_Addon_v2","Simple_Addon_v2-BADGE-2x3-nosilk",47.244000,32.258000,0.000000,top
